threshold,precision,recall,f1,tp,fp,notes_found,total_linked,top1_recall,top3_recall,batch
0.8,0.8484848484848485,0.7222222222222222,0.7802786709539121,28,5,26,36,0.8611111111111112,0.9444444444444444,3
0.81,0.9655172413793104,0.7222222222222222,0.8263337116912599,28,1,26,36,0.8611111111111112,0.9444444444444444,3
0.8200000000000001,0.9642857142857143,0.6944444444444444,0.8074162679425837,27,1,25,36,0.8611111111111112,0.9444444444444444,3
0.8300000000000001,1.0,0.6944444444444444,0.819672131147541,27,0,25,36,0.8611111111111112,0.9444444444444444,3
0.8400000000000001,1.0,0.6944444444444444,0.819672131147541,27,0,25,36,0.8611111111111112,0.9444444444444444,3
0.8500000000000001,1.0,0.6944444444444444,0.819672131147541,27,0,25,36,0.8611111111111112,0.9444444444444444,3
0.8600000000000001,1.0,0.6666666666666666,0.8,25,0,24,36,0.8611111111111112,0.9444444444444444,3
0.7,0.9148936170212766,0.9555555555555556,0.9347826086956522,43,4,43,45,0.9777777777777777,1.0,4
0.71,0.9148936170212766,0.9555555555555556,0.9347826086956522,43,4,43,45,0.9777777777777777,1.0,4
0.72,0.9130434782608695,0.9333333333333333,0.9230769230769231,42,4,42,45,0.9777777777777777,1.0,4
0.73,0.9318181818181818,0.9111111111111111,0.9213483146067416,41,3,41,45,0.9777777777777777,1.0,4
0.74,0.9534883720930233,0.9111111111111111,0.9318181818181819,41,2,41,45,0.9777777777777777,1.0,4
0.75,0.9534883720930233,0.9111111111111111,0.9318181818181819,41,2,41,45,0.9777777777777777,1.0,4
0.76,0.9761904761904762,0.9111111111111111,0.9425287356321839,41,1,41,45,0.9777777777777777,1.0,4
0.77,0.9761904761904762,0.9111111111111111,0.9425287356321839,41,1,41,45,0.9777777777777777,1.0,4
0.78,0.9761904761904762,0.9111111111111111,0.9425287356321839,41,1,41,45,0.9777777777777777,1.0,4
0.79,1.0,0.8888888888888888,0.9411764705882353,40,0,40,45,0.9777777777777777,1.0,4
0.8,1.0,0.8888888888888888,0.9411764705882353,40,0,40,45,0.9777777777777777,1.0,4
